ImageVariableID	FeatureLabel	Source	ColorScale	alpha
T_cell	T_cells_CD8.Aggregate2	fmx_df	YlOrBr	0.9
T_cell_nucleus	T_cells_CD8.Aggregate2	fmx_df	YlOrBr	1
Dendritic_cell	Dendritic_cells.Aggregate1	fmx_df	Purples	0.9
Dendritic_cell_nucleus	Dendritic_cells.Aggregate1	fmx_df	Purples	1
Tissue_macrophage	Macrophage.Aggregate2	fmx_df	YlGn	0.9
Tissue_macrophage_nucleus	Macrophage.Aggregate2	fmx_df	YlGn	1
Tumor	Tumor_cell	fmx_df	Blues	0.9
Tumor_nucleus	Tumor_cell	fmx_df	Blues	1
ICOS	ICOS	im_expr_df	Greens	1
PD-L2	PDCD1LG2	im_expr_df	Greens	1
PD-L1	CD274	im_expr_df	Greens	1
CD28	CD28	im_expr_df	Greens	1
CTLA-4	CTLA4	im_expr_df	Greens	1
CD40L	CD40LG	im_expr_df	Greens	1
CD40	CD40	im_expr_df	Greens	1
ICOSL	ICOSLG	im_expr_df	Greens	1
CD86	CD86	im_expr_df	Greens	1
CD80	CD80	im_expr_df	Greens	1
PD-1	PDCD1	im_expr_df	Greens	1
Four.1BB	TNFRSF9	im_expr_df	Greens	1
Four.1BBL	TNFSF9	im_expr_df	Greens	1
OX40L	TNFSF4	im_expr_df	Greens	1
OX40	TNFRSF4	im_expr_df	Greens	1
GITRL	TNFSF18	im_expr_df	Greens	1
GITR	TNFRSF18	im_expr_df	Greens	1
TCR	T_cells_CD8.Aggregate2	fmx_df	Greens	1
MHC	HLA-A	im_expr_df	Greens	1
MHC-II	HLA-DPA1	im_expr_df	Greens	1
LAG-3	LAG3	im_expr_df	Greens	1
TIM-3	HAVCR2	im_expr_df	Greens	1
Galectin_9	LGALS9	im_expr_df	Greens	1
CD155	PVR	im_expr_df	Greens	1
TIGIT	TIGIT	im_expr_df	Greens	1
