From,To,Group,ratioScore
A2M,LRP1,C1,2.977272727272727
A2M,LRP1,C2,3.036764705882353
A2M,LRP1,C3,3.676056338028169
A2M,LRP1,C4,4.741071428571429
A2M,LRP1,C5,1.6451612903225807
A2M,LRP1,C6,17.857142857142858
AANAT,MTNR1A,C1,1
AANAT,MTNR1A,C2,1.0329289428076256
AANAT,MTNR1A,C3,1.078512396694215
AANAT,MTNR1A,C4,1.1322314049586777
AANAT,MTNR1A,C5,0.7966101694915254
AANAT,MTNR1A,C6,1.4838709677419355
AANAT,MTNR1B,C1,0.9948586118251928
AANAT,MTNR1B,C2,0.9168591224018475
AANAT,MTNR1B,C3,1.0105932203389831
AANAT,MTNR1B,C4,1.1867219917012448
AANAT,MTNR1B,C5,2.3076923076923075
AANAT,MTNR1B,C6,1
ABCA1,B_cells,C1,0.8935018050541517
ABCA1,B_cells,C2,0.842560553633218
ABCA1,B_cells,C3,0.6712538226299695
ABCA1,B_cells,C4,0.44050632911392407
ABCA1,B_cells,C5,0.3263157894736842
ABCA1,B_cells,C6,0.6071428571428571
ABCA1,Eosinophils,C1,0.8822495606326889
ABCA1,Eosinophils,C2,0.9788867562380038
ABCA1,Eosinophils,C3,0.9050966608084359
ABCA1,Eosinophils,C4,1.1596958174904943
ABCA1,Eosinophils,C5,2.164705882352941
ABCA1,Eosinophils,C6,1.025
ABCA1,Macrophage,C1,1.4131868131868133
ABCA1,Macrophage,C2,1.4901960784313726
ABCA1,Macrophage,C3,1.7461139896373057
ABCA1,Macrophage,C4,2.525139664804469
ABCA1,Macrophage,C5,3.509433962264151
ABCA1,Macrophage,C6,2.4782608695652173
ABCA1,Mast_cells,C1,0.8130360205831904
ABCA1,Mast_cells,C2,0.9657794676806084
ABCA1,Mast_cells,C3,0.58
ABCA1,Mast_cells,C4,0.8580441640378549
ABCA1,Mast_cells,C5,3.377049180327869
ABCA1,Mast_cells,C6,0.6190476190476191
ABCA1,NK_cells,C1,0.9836363636363636
ABCA1,NK_cells,C2,0.8153078202995009
