From,To,Group,ratioScore
A2M,LRP1,ACC,2.3636363636363638
A2M,LRP1,BLCA,6.111111111111111
A2M,LRP1,BRCA,5.931034482758621
A2M,LRP1,CESC,1.7301587301587302
A2M,LRP1,CHOL,4.333333333333333
A2M,LRP1,COAD,3.4468085106382977
A2M,LRP1,ESCA,1.3142857142857143
A2M,LRP1,GBM,16
A2M,LRP1,HNSC,1.2448979591836735
A2M,LRP1,KICH,2.5454545454545454
A2M,LRP1,KIRC,2.238095238095238
A2M,LRP1,KIRP,15.875
A2M,LRP1,LGG,2.3698630136986303
A2M,LRP1,LIHC,8.357142857142858
A2M,LRP1,LUAD,4.384615384615385
A2M,LRP1,LUSC,3.4791666666666665
A2M,LRP1,MESO,-2.142857142857143
A2M,LRP1,OV,7.571428571428571
A2M,LRP1,PAAD,21
A2M,LRP1,PCPG,1.4583333333333333
A2M,LRP1,PRAD,2.6875
A2M,LRP1,READ,1.3214285714285714
A2M,LRP1,SARC,3.8125
A2M,LRP1,SKCM,-1.05
A2M,LRP1,STAD,6.333333333333333
A2M,LRP1,TGCT,3.5384615384615383
A2M,LRP1,THCA,1.2608695652173914
A2M,LRP1,UCEC,7.75
A2M,LRP1,UCS,2.2857142857142856
A2M,LRP1,UVM,1.2777777777777777
AANAT,MTNR1A,ACC,4.285714285714286
AANAT,MTNR1A,BLCA,1.4428571428571428
AANAT,MTNR1A,BRCA,2.2333333333333334
AANAT,MTNR1A,CESC,1.0833333333333333
AANAT,MTNR1A,CHOL,-1.375
AANAT,MTNR1A,COAD,-1.702127659574468
AANAT,MTNR1A,ESCA,1.3953488372093024
AANAT,MTNR1A,GBM,-1.71875
AANAT,MTNR1A,HNSC,1.2317073170731707
AANAT,MTNR1A,KICH,1.4545454545454546
AANAT,MTNR1A,KIRC,-1.0404040404040404
AANAT,MTNR1A,KIRP,1.8431372549019607
AANAT,MTNR1A,LGG,-1.236842105263158
AANAT,MTNR1A,LIHC,2.2857142857142856
AANAT,MTNR1A,LUAD,-1.3763440860215055
AANAT,MTNR1A,LUSC,1.1772151898734178
AANAT,MTNR1A,MESO,-2.3000000000000003
AANAT,MTNR1A,OV,-1.347222222222222
AANAT,MTNR1A,PAAD,-1.075
AANAT,MTNR1A,PCPG,-1.5833333333333335
AANAT,MTNR1A,PRAD,-1.5254237288135593
AANAT,MTNR1A,READ,-1.368421052631579
AANAT,MTNR1A,SARC,2.3846153846153846
AANAT,MTNR1A,SKCM,-1.7857142857142856
AANAT,MTNR1A,STAD,-1.4
AANAT,MTNR1A,TGCT,-1.8064516129032258
AANAT,MTNR1A,THCA,-1.1857142857142857
AANAT,MTNR1A,UCEC,1.0727272727272728
AANAT,MTNR1A,UCS,-1.2999999999999998
AANAT,MTNR1A,UVM,2.7142857142857144
AANAT,MTNR1B,ACC,1.1578947368421053
