From,To,Group,ratioScore
A2M,LRP1,C1,2.9660377358490564
A2M,LRP1,C2,3.0256410256410255
A2M,LRP1,C3,3.641860465116279
A2M,LRP1,C4,4.699115044247788
A2M,LRP1,C5,1.619047619047619
A2M,LRP1,C6,15.625
AANAT,MTNR1A,C1,-1.0072595281306715
AANAT,MTNR1A,C2,1.0135135135135136
AANAT,MTNR1A,C3,1.1459694989106755
AANAT,MTNR1A,C4,1.1596638655462186
AANAT,MTNR1A,C5,-1.1122448979591837
AANAT,MTNR1A,C6,1.2857142857142858
AANAT,MTNR1B,C1,1.0425531914893618
AANAT,MTNR1B,C2,1.0046082949308757
AANAT,MTNR1B,C3,1.0375275938189845
AANAT,MTNR1B,C4,1.40990990990991
AANAT,MTNR1B,C5,1.9425287356321839
AANAT,MTNR1B,C6,1.3703703703703705
ABCA1,B_cells,C1,-1.1151515151515152
ABCA1,B_cells,C2,-1.1844262295081969
ABCA1,B_cells,C3,-1.4829931972789117
ABCA1,B_cells,C4,-2.262857142857143
ABCA1,B_cells,C5,-3.096774193548387
ABCA1,B_cells,C6,-1.6764705882352942
ABCA1,Eosinophils,C1,-1.0884086444007859
ABCA1,Eosinophils,C2,-1.1378600823045268
ABCA1,Eosinophils,C3,-1.0591603053435115
ABCA1,Eosinophils,C4,1.211320754716981
ABCA1,Eosinophils,C5,1.8265306122448979
ABCA1,Eosinophils,C6,1
ABCA1,Macrophage,C1,1.4131868131868133
ABCA1,Macrophage,C2,1.4865525672371638
ABCA1,Macrophage,C3,1.7416020671834624
ABCA1,Macrophage,C4,2.5055555555555555
ABCA1,Macrophage,C5,3.4444444444444446
ABCA1,Macrophage,C6,2.375
ABCA1,Mast_cells,C1,-1.2309322033898304
ABCA1,Mast_cells,C2,-1.0352941176470587
ABCA1,Mast_cells,C3,-1.7315270935960592
ABCA1,Mast_cells,C4,-1.1727941176470589
ABCA1,Mast_cells,C5,3.3225806451612905
ABCA1,Mast_cells,C6,-1.653846153846154
ABCA1,NK_cells,C1,-1.0204081632653061
ABCA1,NK_cells,C2,-1.2215447154471544
ABCA1,NK_cells,C3,-1.114851485148515
ABCA1,NK_cells,C4,-1.0247349823321554
ABCA1,NK_cells,C5,1.4
ABCA1,NK_cells,C6,-2.7727272727272725
ABCA1,Neutrophils,C1,1.440180586907449
ABCA1,Neutrophils,C2,1.186335403726708
ABCA1,Neutrophils,C3,1.9168975069252077
ABCA1,Neutrophils,C4,2.5470588235294116
ABCA1,Neutrophils,C5,1.9382716049382716
ABCA1,Neutrophils,C6,1.7878787878787878
ABCA1,T_cells_CD4,C1,1.0850661625708884
ABCA1,T_cells_CD4,C2,1.5862068965517242
ABCA1,T_cells_CD4,C3,1.1888667992047715
ABCA1,T_cells_CD4,C4,-1.2142857142857144
ABCA1,T_cells_CD4,C5,-1.4444444444444444
ABCA1,T_cells_CD4,C6,1.4666666666666666
ACE,AGTR2,C1,1.282383419689119
ACE,AGTR2,C2,1.4154589371980677
ACE,AGTR2,C3,1.2340862422997947
ACE,AGTR2,C4,1.4736842105263157
ACE,AGTR2,C5,3.1403508771929824
ACE,AGTR2,C6,3.4
ACE,BDKRB2,C1,1.8666666666666667
ACE,BDKRB2,C2,-1.4968553459119498
ACE,BDKRB2,C3,1.8370165745856353
ACE,BDKRB2,C4,2.5
ACE,BDKRB2,C5,21.4375
ACE,BDKRB2,C6,4.666666666666667
ACVR1,Macrophage,C1,1.763157894736842
ACVR1,Macrophage,C2,1.6439024390243901
ACVR1,Macrophage,C3,1.1861471861471862
ACVR1,Macrophage,C4,1.2348484848484849
ACVR1,Macrophage,C5,-1.7
ACVR1,Macrophage,C6,3.85
ACVR1,Mast_cells,C1,-1.18200408997955
ACVR1,Mast_cells,C2,1.2052845528455285
ACVR1,Mast_cells,C3,-1.2702702702702702
ACVR1,Mast_cells,C4,-1.5619469026548674
ACVR1,Mast_cells,C5,-3.688888888888889
ACVR1,Mast_cells,C6,-1.135135135135135
ACVR1,T_cells_CD4,C1,1.0954954954954954
ACVR1,T_cells_CD4,C2,1.766109785202864
ACVR1,T_cells_CD4,C3,1.2253218884120172
ACVR1,T_cells_CD4,C4,-1.068
ACVR1,T_cells_CD4,C5,1.4
ACVR1,T_cells_CD4,C6,1.5277777777777777
ACVR1,T_cells_CD8,C1,-1.5614457831325301
ACVR1,T_cells_CD8,C2,-2.0259067357512954
ACVR1,T_cells_CD8,C3,-1.0471311475409837
ACVR1,T_cells_CD8,C4,1.0964285714285715
ACVR1,T_cells_CD8,C5,6.8
ACVR1,T_cells_CD8,C6,-2.5925925925925926
ACVR1B,Macrophage,C1,-1.3490364025695931
ACVR1B,Macrophage,C2,-1.1659919028340082
ACVR1B,Macrophage,C3,-1.1623762376237623
ACVR1B,Macrophage,C4,-2.0351758793969847
ACVR1B,Macrophage,C5,-3.25
ACVR1B,Macrophage,C6,-1.282051282051282
ACVR1B,Mast_cells,C1,1.1767151767151767
ACVR1B,Mast_cells,C2,1.2295081967213115
ACVR1B,Mast_cells,C3,1.5579868708971554
ACVR1B,Mast_cells,C4,-1.169741697416974
ACVR1B,Mast_cells,C5,1.082191780821918
ACVR1B,Mast_cells,C6,1
ACVR2A,Macrophage,C1,-1.052536231884058
ACVR2A,Macrophage,C2,-1.2138836772983115
ACVR2A,Macrophage,C3,-1.7642045454545456
ACVR2A,Macrophage,C4,-1.7162162162162162
ACVR2A,Macrophage,C5,-1.2542372881355932
ACVR2A,Macrophage,C6,1.4545454545454546
ACVR2A,NK_cells,C1,-1.1074074074074074
ACVR2A,NK_cells,C2,-1.3352272727272727
ACVR2A,NK_cells,C3,1.0101419878296145
ACVR2A,NK_cells,C4,-1.1423357664233575
ACVR2A,NK_cells,C5,1.4509803921568627
ACVR2A,NK_cells,C6,-2.1538461538461537
ACVR2A,T_cells_CD4,C1,1.1165413533834587
ACVR2A,T_cells_CD4,C2,1.3594040968342644
ACVR2A,T_cells_CD4,C3,2.422818791946309
ACVR2A,T_cells_CD4,C4,1.331877729257642
ACVR2A,T_cells_CD4,C5,-1.0517241379310345
ACVR2A,T_cells_CD4,C6,1.6071428571428572
ADAM10,AXL,C1,1.5194508009153318
ADAM10,AXL,C2,1.5435779816513762
ADAM10,AXL,C3,2.5233644859813085
ADAM10,AXL,C4,1.4761904761904763
ADAM10,AXL,C5,-5.409090909090909
ADAM10,AXL,C6,3.2
ADAM10,EPHA3,C1,1.5524296675191815
ADAM10,EPHA3,C2,1.713953488372093
ADAM10,EPHA3,C3,1.9606481481481481
ADAM10,EPHA3,C4,1.4469026548672566
ADAM10,EPHA3,C5,-2.2857142857142856
ADAM10,EPHA3,C6,2.9545454545454546
ADAM12,ITGA9,C1,1.3283208020050126
ADAM12,ITGA9,C2,1.0952380952380953
ADAM12,ITGA9,C3,-1.4565217391304348
ADAM12,ITGA9,C4,1.8840579710144927
ADAM12,ITGA9,C5,13.25
ADAM12,ITGA9,C6,9.666666666666666
ADAM12,ITGB1,C1,4.6187845303867405
ADAM12,ITGB1,C2,3.798076923076923
ADAM12,ITGB1,C3,2.1994301994301995
ADAM12,ITGB1,C4,2.1510416666666665
ADAM12,ITGB1,C5,181
ADAM12,ITGB1,C6,12.11111111111111
ADAM12,SDC4,C1,-1.0973871733966747
ADAM12,SDC4,C2,1.0981735159817352
ADAM12,SDC4,C3,-1.0964467005076142
ADAM12,SDC4,C4,-1.7179487179487178
ADAM12,SDC4,C5,11.379310344827585
ADAM12,SDC4,C6,-1.2682926829268293
ADAM15,ITGA5,C1,1.0922431865828093
ADAM15,ITGA5,C2,1.4104308390022675
ADAM15,ITGA5,C3,-1.168122270742358
ADAM15,ITGA5,C4,2.077294685990338
ADAM15,ITGA5,C5,185
ADAM15,ITGA5,C6,2.24
ADAM15,ITGA9,C1,-1.465648854961832
ADAM15,ITGA9,C2,-1.9690721649484535
ADAM15,ITGA9,C3,-1.2111553784860558
ADAM15,ITGA9,C4,1.8878923766816142
ADAM15,ITGA9,C5,11.777777777777779
ADAM15,ITGA9,C6,1.826086956521739
ADAM15,ITGAV,C1,-1.3474178403755868
ADAM15,ITGAV,C2,-1.3602620087336246
ADAM15,ITGAV,C3,-2.127840909090909
ADAM15,ITGAV,C4,-1.1533333333333333
