From,To,Group,ratioScore
A2M,LRP1,C1,2.969811320754717
A2M,LRP1,C2,3.021978021978022
A2M,LRP1,C3,3.641860465116279
A2M,LRP1,C4,4.699115044247788
A2M,LRP1,C5,1.619047619047619
A2M,LRP1,C6,15.625
AANAT,MTNR1A,C1,0.9738675958188153
AANAT,MTNR1A,C2,1.0275862068965518
AANAT,MTNR1A,C3,1.06875
AANAT,MTNR1A,C4,1.2151898734177216
AANAT,MTNR1A,C5,0.9029126213592233
AANAT,MTNR1A,C6,1.3333333333333333
AANAT,MTNR1B,C1,1.0896739130434783
AANAT,MTNR1B,C2,0.9088983050847458
AANAT,MTNR1B,C3,0.9978213507625272
AANAT,MTNR1B,C4,1.4366197183098592
AANAT,MTNR1B,C5,2.05
AANAT,MTNR1B,C6,1.3666666666666667
ABCA1,B_cells,C1,0.8933092224231465
ABCA1,B_cells,C2,0.8460207612456747
ABCA1,B_cells,C3,0.6732824427480916
ABCA1,B_cells,C4,0.44191919191919193
ABCA1,B_cells,C5,0.3229166666666667
ABCA1,B_cells,C6,0.5964912280701754
ABCA1,Eosinophils,C1,0.9199288256227758
ABCA1,Eosinophils,C2,0.9661016949152542
ABCA1,Eosinophils,C3,0.7964458804523424
ABCA1,Eosinophils,C4,1.036764705882353
ABCA1,Eosinophils,C5,2.2289156626506026
ABCA1,Eosinophils,C6,0.851063829787234
ABCA1,Macrophage,C1,1.4153846153846155
ABCA1,Macrophage,C2,1.4901960784313726
ABCA1,Macrophage,C3,1.7461139896373057
ABCA1,Macrophage,C4,2.4972375690607733
ABCA1,Macrophage,C5,3.4444444444444446
ABCA1,Macrophage,C6,2.375
ABCA1,Mast_cells,C1,0.8127147766323024
ABCA1,Mast_cells,C2,0.9640151515151515
ABCA1,Mast_cells,C3,0.58
ABCA1,Mast_cells,C4,0.85
ABCA1,Mast_cells,C5,3.3225806451612905
ABCA1,Mast_cells,C6,0.6046511627906976
ABCA1,NK_cells,C1,0.9799635701275046
ABCA1,NK_cells,C2,0.8129139072847682
ABCA1,NK_cells,C3,0.9001782531194296
ABCA1,NK_cells,C4,0.9895833333333334
ABCA1,NK_cells,C5,1.4
ABCA1,NK_cells,C6,0.36065573770491804
ABCA1,Neutrophils,C1,1.4147982062780269
ABCA1,Neutrophils,C2,1.1558704453441295
ABCA1,Neutrophils,C3,1.8177083333333333
ABCA1,Neutrophils,C4,2.515151515151515
ABCA1,Neutrophils,C5,2.1486486486486487
ABCA1,Neutrophils,C6,1.875
ABCA1,T_cells_CD4,C1,1.0830188679245283
ABCA1,T_cells_CD4,C2,1.5898617511520738
ABCA1,T_cells_CD4,C3,1.1868787276341948
ABCA1,T_cells_CD4,C4,0.8206896551724138
ABCA1,T_cells_CD4,C5,0.6923076923076923
ABCA1,T_cells_CD4,C6,1.4666666666666666
ACE,AGTR2,C1,1.2241813602015112
ACE,AGTR2,C2,1.5703324808184143
ACE,AGTR2,C3,1.298283261802575
ACE,AGTR2,C4,1.4330357142857142
ACE,AGTR2,C5,2.9285714285714284
ACE,AGTR2,C6,2.6923076923076925
ACE,BDKRB2,C1,1.8666666666666667
ACE,BDKRB2,C2,0.6680672268907563
ACE,BDKRB2,C3,1.8370165745856353
ACE,BDKRB2,C4,2.5
ACE,BDKRB2,C5,21.4375
ACE,BDKRB2,C6,4.666666666666667
ACVR1,Macrophage,C1,1.7655502392344498
ACVR1,Macrophage,C2,1.6390243902439023
ACVR1,Macrophage,C3,1.183982683982684
ACVR1,Macrophage,C4,1.2424242424242424
ACVR1,Macrophage,C5,0.5882352941176471
ACVR1,Macrophage,C6,3.85
ACVR1,Mast_cells,C1,0.8509532062391681
ACVR1,Mast_cells,C2,1.2073170731707317
ACVR1,Mast_cells,C3,0.7868852459016393
ACVR1,Mast_cells,C4,0.6430594900849859
ACVR1,Mast_cells,C5,0.2710843373493976
ACVR1,Mast_cells,C6,0.8809523809523809
ACVR1,T_cells_CD4,C1,1.1012658227848102
ACVR1,T_cells_CD4,C2,1.7679425837320575
ACVR1,T_cells_CD4,C3,1.2301075268817205
ACVR1,T_cells_CD4,C4,0.9363295880149812
ACVR1,T_cells_CD4,C5,1.4
ACVR1,T_cells_CD4,C6,1.5277777777777777
