From,To,Group,ratioScore
A2M,LRP1,C1,3.0376569037656904
A2M,LRP1,C2,2.9766536964980546
A2M,LRP1,C3,3.4146341463414633
A2M,LRP1,C4,4.711538461538462
A2M,LRP1,C5,1.706896551724138
A2M,LRP1,C6,14.625
AANAT,MTNR1A,C1,0.9714285714285714
AANAT,MTNR1A,C2,0.9672727272727273
AANAT,MTNR1A,C3,1.152744630071599
AANAT,MTNR1A,C4,1.1830357142857142
AANAT,MTNR1A,C5,0.7982456140350878
AANAT,MTNR1A,C6,1.4642857142857142
AANAT,MTNR1B,C1,1.0855457227138643
AANAT,MTNR1B,C2,0.8632075471698113
AANAT,MTNR1B,C3,0.990521327014218
AANAT,MTNR1B,C4,1.2780269058295963
AANAT,MTNR1B,C5,1.951219512195122
AANAT,MTNR1B,C6,1.52
ABCA1,B_cells,C1,0.8639846743295019
ABCA1,B_cells,C2,0.8638059701492538
ABCA1,B_cells,C3,0.6666666666666666
ABCA1,B_cells,C4,0.4393530997304582
ABCA1,B_cells,C5,0.33513513513513515
ABCA1,B_cells,C6,0.64
ABCA1,Eosinophils,C1,0.9011406844106464
ABCA1,Eosinophils,C2,0.914396887159533
ABCA1,Eosinophils,C3,0.8311444652908068
ABCA1,Eosinophils,C4,1.0515873015873016
ABCA1,Eosinophils,C5,2.3164556962025316
ABCA1,Eosinophils,C6,1
ABCA1,Macrophage,C1,1.441527446300716
ABCA1,Macrophage,C2,1.4894736842105263
ABCA1,Macrophage,C3,1.6782608695652175
ABCA1,Macrophage,C4,2.5602409638554215
ABCA1,Macrophage,C5,3.5294117647058822
ABCA1,Macrophage,C6,2.0833333333333335
ABCA1,Mast_cells,C1,0.8176691729323309
ABCA1,Mast_cells,C2,0.9540918163672655
ABCA1,Mast_cells,C3,0.5654952076677316
ABCA1,Mast_cells,C4,0.8383838383838383
ABCA1,Mast_cells,C5,3.2950819672131146
ABCA1,Mast_cells,C6,0.6842105263157895
ABCA1,NK_cells,C1,0.9705304518664047
ABCA1,NK_cells,C2,0.7978910369068541
ABCA1,NK_cells,C3,0.8893360160965795
ABCA1,NK_cells,C4,0.9775280898876404
ABCA1,NK_cells,C5,1.4683544303797469
ABCA1,NK_cells,C6,0.38181818181818183
ABCA1,Neutrophils,C1,1.4373464373464373
ABCA1,Neutrophils,C2,1.1838074398249452
ABCA1,Neutrophils,C3,1.7306590257879657
ABCA1,Neutrophils,C4,2.5733333333333333
ABCA1,Neutrophils,C5,2.183098591549296
ABCA1,Neutrophils,C6,1.9642857142857142
ABCA1,T_cells_CD4,C1,1.1097308488612836
ABCA1,T_cells_CD4,C2,1.5606796116504855
ABCA1,T_cells_CD4,C3,1.2188940092165899
ABCA1,T_cells_CD4,C4,0.8088235294117647
ABCA1,T_cells_CD4,C5,0.7079646017699115
ABCA1,T_cells_CD4,C6,1.4642857142857142
ACE,AGTR2,C1,1.2266666666666666
ACE,AGTR2,C2,1.4881889763779528
ACE,AGTR2,C3,1.2201405152224825
ACE,AGTR2,C4,1.3366336633663367
ACE,AGTR2,C5,3.1132075471698113
ACE,AGTR2,C6,2.44
ACE,BDKRB2,C1,1.7987220447284344
ACE,BDKRB2,C2,0.6833333333333333
ACE,BDKRB2,C3,1.9449838187702266
ACE,BDKRB2,C4,2.7232704402515724
ACE,BDKRB2,C5,22.066666666666666
ACE,BDKRB2,C6,4.857142857142857
ACVR1,Macrophage,C1,1.7829457364341086
ACVR1,Macrophage,C2,1.7096774193548387
ACVR1,Macrophage,C3,1.1325301204819278
ACVR1,Macrophage,C4,1.2520661157024793
ACVR1,Macrophage,C5,0.6052631578947368
ACVR1,Macrophage,C6,3.736842105263158
ACVR1,Mast_cells,C1,0.867816091954023
ACVR1,Mast_cells,C2,1.1522198731501057
ACVR1,Mast_cells,C3,0.8093457943925234
ACVR1,Mast_cells,C4,0.6604938271604939
ACVR1,Mast_cells,C5,0.29375
ACVR1,Mast_cells,C6,0.8536585365853658
ACVR1,T_cells_CD4,C1,1.1130952380952381
ACVR1,T_cells_CD4,C2,1.7531806615776082
ACVR1,T_cells_CD4,C3,1.3265306122448979
ACVR1,T_cells_CD4,C4,0.963855421686747
ACVR1,T_cells_CD4,C5,1.35
ACVR1,T_cells_CD4,C6,1.606060606060606
ACVR1,T_cells_CD8,C1,0.6644067796610169
ACVR1,T_cells_CD8,C2,0.4972677595628415
ACVR1,T_cells_CD8,C3,0.936542669584245
ACVR1,T_cells_CD8,C4,1.0836501901140685
ACVR1,T_cells_CD8,C5,6.125
ACVR1,T_cells_CD8,C6,0.42857142857142855
ACVR1B,Macrophage,C1,0.7521367521367521
ACVR1B,Macrophage,C2,0.8406593406593407
ACVR1B,Macrophage,C3,0.8273244781783681
