From,To,Group,ratioScore
A2M,LRP1,ACC,2.3636363636363638
A2M,LRP1,BLCA,6.111111111111111
A2M,LRP1,BRCA,5.931034482758621
A2M,LRP1,CESC,1.7301587301587302
A2M,LRP1,CHOL,4.333333333333333
A2M,LRP1,COAD,3.4468085106382977
A2M,LRP1,ESCA,1.3142857142857143
A2M,LRP1,GBM,16
A2M,LRP1,HNSC,1.2448979591836735
A2M,LRP1,KICH,2.5454545454545454
A2M,LRP1,KIRC,2.238095238095238
A2M,LRP1,KIRP,15.875
A2M,LRP1,LGG,2.3698630136986303
A2M,LRP1,LIHC,8.357142857142858
A2M,LRP1,LUAD,4.384615384615385
A2M,LRP1,LUSC,3.4791666666666665
A2M,LRP1,MESO,0.4666666666666667
A2M,LRP1,OV,7.5
A2M,LRP1,PAAD,21
A2M,LRP1,PCPG,1.4583333333333333
A2M,LRP1,PRAD,2.6875
A2M,LRP1,READ,1.3214285714285714
A2M,LRP1,SARC,3.8125
A2M,LRP1,SKCM,0.9523809523809523
A2M,LRP1,STAD,6.375
A2M,LRP1,TGCT,3.5384615384615383
A2M,LRP1,THCA,1.2608695652173914
A2M,LRP1,UCEC,7.75
A2M,LRP1,UCS,2.2857142857142856
A2M,LRP1,UVM,1.2777777777777777
AANAT,MTNR1A,ACC,4.428571428571429
AANAT,MTNR1A,BLCA,1.3714285714285714
AANAT,MTNR1A,BRCA,2.1196581196581197
AANAT,MTNR1A,CESC,0.9607843137254902
AANAT,MTNR1A,CHOL,1
AANAT,MTNR1A,COAD,0.6
AANAT,MTNR1A,ESCA,1.4186046511627908
AANAT,MTNR1A,GBM,0.5245901639344263
AANAT,MTNR1A,HNSC,1.1724137931034482
AANAT,MTNR1A,KICH,0.8888888888888888
AANAT,MTNR1A,KIRC,1.125
AANAT,MTNR1A,KIRP,1.8076923076923077
AANAT,MTNR1A,LGG,0.8692307692307693
AANAT,MTNR1A,LIHC,2.42
AANAT,MTNR1A,LUAD,0.7829457364341085
AANAT,MTNR1A,LUSC,0.9894736842105263
AANAT,MTNR1A,MESO,0.6428571428571429
AANAT,MTNR1A,OV,0.7422680412371134
AANAT,MTNR1A,PAAD,0.8125
AANAT,MTNR1A,PCPG,0.6428571428571429
AANAT,MTNR1A,PRAD,0.6555555555555556
AANAT,MTNR1A,READ,0.71698113207547165
AANAT,MTNR1A,SARC,2.423076923076923
AANAT,MTNR1A,SKCM,0.7894736842105263
AANAT,MTNR1A,STAD,0.7142857142857143
AANAT,MTNR1A,TGCT,0.5344827586206896
AANAT,MTNR1A,THCA,0.9156626506024096
AANAT,MTNR1A,UCEC,1.029585798816568
AANAT,MTNR1A,UCS,0.8
AANAT,MTNR1A,UVM,3
AANAT,MTNR1B,ACC,0.6956521739130435
AANAT,MTNR1B,BLCA,0.7857142857142857
