"SUID","name","selected","shared name","Type"
"905","CD27","false","CD27","Receptor"
"906","T_cells_CD8","false","T_cells_CD8","Cell"
"907","CD274","false","CD274","Ligand"
"908","CD80","false","CD80","Receptor"
"909","PDCD1","false","PDCD1","Receptor"
"910","CD40LG","false","CD40LG","Ligand"
"911","CD40","false","CD40","Receptor"
"912","CD70","false","CD70","Ligand"
"913","CD28","false","CD28","Receptor"
"914","CTLA4","false","CTLA4","Receptor"
"915","EDNRB","false","EDNRB","Receptor"
"916","Mast_cells","false","Mast_cells","Cell"
"917","HLA-C","false","HLA-C","Ligand"
"918","KIR2DL3","false","KIR2DL3","Receptor"
"919","HLA-DRB1","false","HLA-DRB1","Ligand"
"920","LAG3","false","LAG3","Receptor"
"921","ICAM1","false","ICAM1","Ligand"
"922","IL2RA","false","IL2RA","Receptor"
"923","ITGB2","false","ITGB2","Receptor"
"924","Macrophage","false","Macrophage","Cell"
"925","PDCD1LG2","false","PDCD1LG2","Ligand"
"926","TIGIT","false","TIGIT","Receptor"
"927","TLR4","false","TLR4","Receptor"
"928","TNFSF4","false","TNFSF4","Ligand"
"929","TNFRSF4","false","TNFRSF4","Receptor"
"930","TNFSF9","false","TNFSF9","Ligand"
"931","TNFRSF9","false","TNFRSF9","Receptor"
"932","BTLA","false","BTLA","Ligand"
"933","CCL5","false","CCL5","Ligand"
"934","IFNG","false","IFNG","Ligand"
