Type	Obj
Cell	B_cells
Cell	T_cells_CD4
Cell	T_cells_CD8
Cell	Dendritic_cells
Cell	Eosinophils
Cell	Macrophage
Cell	Mast_cells
Cell	NK_cells
Cell	Neutrophils
Receptor	ADORA2A
Receptor	ICOS
Receptor	KIR2DL2
Ligand	A2M
Ligand	AANAT
Ligand	ACE
Ligand	ADAM10
Ligand	ADAM12
Ligand	ADAM15
Ligand	ADAM17
Ligand	ADAM2
Ligand	ADAM23
Ligand	ADAM28
Ligand	ADAM9
Ligand	ADCYAP1
Ligand	ADIPOQ
Ligand	ADM
Ligand	ADM2
Ligand	AGRN
Ligand	AGRP
Ligand	AGT
Ligand	AHSG
Ligand	ALB
Ligand	AMELX
Ligand	AMELY
Ligand	AMH
Ligand	ANGPT1
Ligand	ANGPT2
Ligand	ANGPT4
Ligand	ANGPTL1
Ligand	ANGPTL3
Ligand	ANXA1
Ligand	APLN
Ligand	APOB
Ligand	APOD
Ligand	APOE
Ligand	APP
Ligand	AREG
Ligand	AREGB
Ligand	ARF1
Ligand	ARTN
Ligand	ASIP
Ligand	AVP
Ligand	AZGP1
Ligand	B2M
Ligand	BDNF
Ligand	BGN
Ligand	BMP10
Ligand	BMP15
Ligand	BMP2
Ligand	BMP3
Ligand	BMP4
Ligand	BMP5
Ligand	BMP6
Ligand	BMP7
Ligand	BST1
Ligand	BTC
Ligand	BTLA
Ligand	C1QA
Ligand	C1QB
Ligand	C1QTNF1
Ligand	C1QTNF5
Ligand	C3
Ligand	C4A
Ligand	C4B
Ligand	C4BPA
Ligand	C5
Ligand	C5orf55
Ligand	CALCA
Ligand	CALCB
Ligand	CALR
Ligand	CAMP
Ligand	CCK
Ligand	CCL1
Ligand	CCL11
Ligand	CCL13
Ligand	CCL14
Ligand	CCL15
Ligand	CCL16
Ligand	CCL17
Ligand	CCL18
Ligand	CCL19
Ligand	CCL2
Ligand	CCL20
Ligand	CCL21
Ligand	CCL22
Ligand	CCL23
Ligand	CCL24
Ligand	CCL25
Ligand	CCL26
Ligand	CCL27
Ligand	CCL28
Ligand	CCL3
Ligand	CCL3L1
Ligand	CCL3L3
Ligand	CCL4
Ligand	CCL5
Ligand	CCL7
Ligand	CCL8
Ligand	CD14
Ligand	CD24
Ligand	CD274
Ligand	CD34
Ligand	CD40LG
Ligand	CD55
Ligand	CD5L
Ligand	CD70
Ligand	CD80
Ligand	CDH1
Ligand	CEL
Ligand	CFH
Ligand	CGA
Ligand	CGB
Ligand	CGN
Ligand	CHAD
Ligand	CLCF1
Ligand	CNTF
Ligand	CNTN2
Ligand	CNTN4
Ligand	COL11A1
Ligand	COL14A1
Ligand	COL18A1
Ligand	COL1A1
Ligand	COL1A2
Ligand	COL2A1
Ligand	COL3A1
Ligand	COL4A1
Ligand	COL4A2
Ligand	COL4A3
Ligand	COL4A4
Ligand	COL4A5
Ligand	COL4A6
Ligand	COL5A1
Ligand	COL5A2
Ligand	COL5A3
Ligand	COL8A1
Ligand	COL9A1
Ligand	COL9A2
Ligand	COL9A3
Ligand	COLQ
Ligand	CORT
Ligand	CP
Ligand	CPAMD8
Ligand	CRH
Ligand	CRP
Ligand	CSF1
Ligand	CSF2
Ligand	CSF3
Ligand	CSH1
Ligand	CSH2
Ligand	CSHL1
Ligand	CTF1
Ligand	CTGF
Ligand	CTHRC1
Ligand	CUBN
Ligand	CX3CL1
Ligand	CXCL1
Ligand	CXCL10
Ligand	CXCL11
Ligand	CXCL12
Ligand	CXCL13
Ligand	CXCL16
Ligand	CXCL2
Ligand	CXCL3
Ligand	CXCL5
Ligand	CXCL6
Ligand	CXCL9
Ligand	CYR61
Ligand	DCN
Ligand	DEFB1
Ligand	DEFB103A
Ligand	DEFB103B
Ligand	DEFB4A
Ligand	DEFB4B
Ligand	DHH
Ligand	DKK1
Ligand	DKK2
Ligand	DLK1
Ligand	DLK2
Ligand	DLL1
Ligand	DLL4
Ligand	EBI3
Ligand	EDA
Ligand	EDIL3
Ligand	EDN1
Ligand	EDN2
Ligand	EDN3
Ligand	EFEMP1
Ligand	EFEMP2
Ligand	EFNA1
Ligand	EFNA2
Ligand	EFNA3
Ligand	EFNA4
Ligand	EFNA5
Ligand	EFNB1
Ligand	EFNB2
Ligand	EFNB3
Ligand	EGF
Ligand	EPGN
Ligand	EPO
Ligand	EREG
Ligand	F10
Ligand	F11
Ligand	F12
Ligand	F13A1
Ligand	F2
Ligand	F7
Ligand	F8
Ligand	F9
Ligand	FASLG
Ligand	FAT4
Ligand	FBLN1
Ligand	FBLN2
Ligand	FBN1
Ligand	FCN2
Ligand	FGA
Ligand	FGB
Ligand	FGF1
Ligand	FGF10
Ligand	FGF13
Ligand	FGF16
Ligand	FGF17
Ligand	FGF18
Ligand	FGF19
Ligand	FGF2
Ligand	FGF20
Ligand	FGF21
Ligand	FGF22
Ligand	FGF23
Ligand	FGF3
Ligand	FGF4
Ligand	FGF5
Ligand	FGF6
Ligand	FGF7
Ligand	FGF8
Ligand	FGF9
Ligand	FGG
Ligand	FGL1
Ligand	FIGF
Ligand	FLT3LG
Ligand	FN1
Ligand	FSHB
Ligand	GAL
Ligand	GALP
Ligand	GAS6
Ligand	GAST
Ligand	GCG
Ligand	GDF11
Ligand	GDF2
Ligand	GDF5
Ligand	GDF6
Ligand	GDF7
Ligand	GDF9
Ligand	GDNF
Ligand	GH1
Ligand	GH2
Ligand	GHRH
Ligand	GHRL
Ligand	GIP
Ligand	GNAI2
Ligand	GNAS
Ligand	GNB3
Ligand	GNRH1
Ligand	GNRH2
Ligand	GPC3
Ligand	GPHA2
Ligand	GPI
Ligand	GRP
Ligand	GSTP1
Ligand	GUCA2A
Ligand	GUCA2B
Ligand	GZMB
Ligand	HAS2
Ligand	HBEGF
Ligand	HCRT
Ligand	HEBP1
Ligand	HGF
Ligand	HLA-A
Ligand	HLA-B
Ligand	HLA-C
Ligand	HLA-DRB1
Ligand	HLA-E
Ligand	HLA-G
Ligand	HMGB1
Ligand	HP
Ligand	HRAS
Ligand	HRG
Ligand	HSP90AA1
Ligand	HSPG2
Ligand	IAPP
Ligand	ICAM1
Ligand	ICAM2
Ligand	ICAM3
Ligand	ICAM4
Ligand	ICAM5
Ligand	IFNA1
Ligand	IFNA10
Ligand	IFNA13
Ligand	IFNA14
Ligand	IFNA16
Ligand	IFNA17
Ligand	IFNA2
