Node,Group,UpBinRatio
A2M,C1,0.5517384105960265
A2M,C2,0.5522964106522578
A2M,C3,0.8585732165206508
A2M,C4,0.7093425605536332
A2M,C5,0.7818181818181819
A2M,C6,0.95
AANAT,C1,0.6291390728476821
AANAT,C2,0.6768339768339768
AANAT,C3,0.6583229036295369
AANAT,C4,0.6784788245462403
AANAT,C5,0.961038961038961
AANAT,C6,0.6
ABCA1,C1,0.535182119205298
ABCA1,C2,0.6700115785411038
ABCA1,C3,0.7267417605340009
ABCA1,C4,0.717128027681661
ABCA1,C5,0.9246753246753247
ABCA1,C6,0.8777777777777778
ACE,C1,0.7048841059602649
ACE,C2,0.6499421072944809
ACE,C3,0.8126825198164372
ACE,C4,0.513840830449827
ACE,C5,0.05714285714285714
ACE,C6,0.9055555555555556
ACVR1,C1,0.6277432712215321
ACVR1,C2,0.6646082593593208
ACVR1,C3,0.8076762619941593
ACVR1,C4,0.554019014693172
ACVR1,C5,0.32987012987012987
ACVR1,C6,0.9555555555555556
ACVR1B,C1,0.7022774327122153
ACVR1B,C2,0.6267850250868391
ACVR1B,C3,0.7179808093450146
ACVR1B,C4,0.5903197925669835
ACVR1B,C5,0.7168831168831169
ACVR1B,C6,0.6333333333333333
ACVR2A,C1,0.6672185430463576
ACVR2A,C2,0.5538402161327672
ACVR2A,C3,0.8051731330830204
ACVR2A,C4,0.5709342560553633
ACVR2A,C5,0.8675324675324675
ACVR2A,C6,0.7944444444444444
ADAM10,C1,0.7048841059602649
ADAM10,C2,0.6934362934362934
ADAM10,C3,0.7188151856487276
ADAM10,C4,0.5203111495246326
ADAM10,C5,0.37142857142857144
ADAM10,C6,0.8166666666666667
ADAM12,C1,0.8418874172185431
ADAM12,C2,0.824006175221922
ADAM12,C3,0.476011681268252
ADAM12,C4,0.5294117647058824
ADAM12,C5,0.046753246753246755
ADAM12,C6,0.9666666666666667
ADAM15,C1,0.8232615894039735
ADAM15,C2,0.8074102663064454
ADAM15,C3,0.5748852732582395
ADAM15,C4,0.42560553633217996
ADAM15,C5,0.02077922077922078
ADAM15,C6,0.8611111111111112
ADAM17,C1,0.7251655629139073
ADAM17,C2,0.7935160169818603
ADAM17,C3,0.5041736227045075
ADAM17,C4,0.5358686257562663
ADAM17,C5,0.8493506493506493
ADAM17,C6,0.8388888888888889
ADAM2,C1,0.6697750959956116
ADAM2,C2,0.664804469273743
ADAM2,C3,0.6771105308964317
ADAM2,C4,0.6685499058380414
ADAM2,C5,0.6571428571428571
ADAM2,C6,0.6783625730994152
ADAM23,C1,0.7118012422360248
ADAM23,C2,0.7209571593979158
ADAM23,C3,0.5340008343763037
ADAM23,C4,0.6318063958513397
ADAM23,C5,0.9506493506493506
ADAM23,C6,0.8333333333333334
ADAM28,C1,0.6256728778467909
ADAM28,C2,0.7549208799691239
ADAM28,C3,0.6537338339591156
ADAM28,C4,0.5159896283491789
ADAM28,C5,0.8181818181818182
ADAM28,C6,0.9333333333333333
ADAM9,C1,0.7235099337748344
ADAM9,C2,0.6619065997684291
ADAM9,C3,0.7008760951188986
ADAM9,C4,0.5415224913494809
ADAM9,C5,0.4857142857142857
ADAM9,C6,0.8777777777777778
ADCYAP1,C1,0.674120082815735
ADCYAP1,C2,0.6534156696256271
ADCYAP1,C3,0.7012932832707551
ADCYAP1,C4,0.5764909248055315
ADCYAP1,C5,0.7714285714285715
ADCYAP1,C6,0.8222222222222222
