Node,Group,UpBinRatio
A2M,C1,0.5564010743061772
A2M,C2,0.5518945634266886
A2M,C3,0.861241768579492
A2M,C4,0.7101584342963654
A2M,C5,0.7908847184986595
A2M,C6,0.9512195121951219
AANAT,C1,0.6230975828111012
AANAT,C2,0.6746293245469522
AANAT,C3,0.6613358419567262
AANAT,C4,0.6843575418994413
AANAT,C5,0.9624664879356568
AANAT,C6,0.5950920245398773
ABCA1,C1,0.5331244404655326
ABCA1,C2,0.6750411861614497
ABCA1,C3,0.7253057384760113
ABCA1,C4,0.7148182665424044
ABCA1,C5,0.9276139410187667
ABCA1,C6,0.8658536585365854
ACE,C1,0.7000895255147717
ACE,C2,0.6536243822075782
ACE,C3,0.8222013170272813
ACE,C4,0.5209692451071761
ACE,C5,0.058981233243967826
ACE,C6,0.8963414634146342
ACVR1,C1,0.6274070756829377
ACVR1,C2,0.6688632619439868
ACVR1,C3,0.8099717779868297
ACVR1,C4,0.5577281191806331
ACVR1,C5,0.3297587131367292
ACVR1,C6,0.9634146341463414
ACVR1B,C1,0.6995073891625616
ACVR1B,C2,0.6309719934102141
ACVR1B,C3,0.7191909689557855
ACVR1B,C4,0.5865921787709497
ACVR1B,C5,0.7265415549597856
ACVR1B,C6,0.6280487804878049
ACVR2A,C1,0.666069829901522
ACVR2A,C2,0.5584843492586491
ACVR2A,C3,0.8071495766698025
ACVR2A,C4,0.5731593662628145
ACVR2A,C5,0.8632707774798928
ACVR2A,C6,0.7926829268292683
ADAM10,C1,0.7094897045658013
ADAM10,C2,0.6971569839307787
ADAM10,C3,0.7111947318908749
ADAM10,C4,0.515828677839851
ADAM10,C5,0.40482573726541554
ADAM10,C6,0.8109756097560976
ADAM12,C1,0.8348254252461952
ADAM12,C2,0.8171334431630972
ADAM12,C3,0.48494825964252114
ADAM12,C4,0.5340167753960857
ADAM12,C5,0.04289544235924933
ADAM12,C6,0.9634146341463414
ADAM15,C1,0.8236347358997315
ADAM15,C2,0.8018945634266886
ADAM15,C3,0.5809031044214488
ADAM15,C4,0.42590866728797766
ADAM15,C5,0.021447721179624665
ADAM15,C6,0.8536585365853658
ADAM17,C1,0.7193375111906893
ADAM17,C2,0.7924217462932455
ADAM17,C3,0.5025882352941177
ADAM17,C4,0.5353817504655494
ADAM17,C5,0.8498659517426274
ADAM17,C6,0.8292682926829268
ADAM2,C1,0.7063728409767719
ADAM2,C2,0.6670299727520436
ADAM2,C3,0.6768472906403941
ADAM2,C4,0.6294416243654822
ADAM2,C5,0.6112600536193029
ADAM2,C6,0.6258064516129033
ADAM23,C1,0.7023276633840645
ADAM23,C2,0.7111660486196951
ADAM23,C3,0.5385700846660395
ADAM23,C4,0.6452513966480447
ADAM23,C5,0.9544235924932976
ADAM23,C6,0.8414634146341463
ADAM28,C1,0.6177260519247986
ADAM28,C2,0.7561779242174629
ADAM28,C3,0.6538099717779868
ADAM28,C4,0.5237651444547996
ADAM28,C5,0.8203753351206434
ADAM28,C6,0.9329268292682927
ADAM9,C1,0.7260519247985676
ADAM9,C2,0.6626853377265239
ADAM9,C3,0.6970837253057385
ADAM9,C4,0.5424044734389561
ADAM9,C5,0.5040214477211796
ADAM9,C6,0.8780487804878049
ADCYAP1,C1,0.6748768472906403
ADCYAP1,C2,0.6457990115321252
ADCYAP1,C3,0.7079021636876763
ADCYAP1,C4,0.5810055865921788
ADCYAP1,C5,0.7721179624664879
