Node,Group,UpBinRatio
A2M,ACC.CIMP-high,0.631578947368421
A2M,ACC.CIMP-intermediate,0.6666666666666666
A2M,ACC.CIMP-low,0.75
A2M,BLCA.1,0.225
A2M,BLCA.2,0.8292682926829268
A2M,BLCA.3,0.1935483870967742
A2M,BLCA.4,0.7333333333333333
A2M,BRCA.Basal,0.7616279069767442
A2M,BRCA.Her2,0.863013698630137
A2M,BRCA.LumA,0.860236220472441
A2M,BRCA.LumB,0.6963350785340314
A2M,BRCA.Normal,0.927536231884058
A2M,GBM_LGG.,1
A2M,GBM_LGG.Classic-like,0.9710144927536232
A2M,GBM_LGG.Codel,0.7251461988304093
A2M,GBM_LGG.G-CIMP-high,0.9152542372881356
A2M,GBM_LGG.G-CIMP-low,0.9411764705882353
A2M,GBM_LGG.LGm6-GBM,0.8333333333333334
A2M,GBM_LGG.Mesenchymal-like,0.9591836734693877
A2M,GBM_LGG.PA-like,0.8076923076923077
A2M,GI.CIN,0.5632
A2M,GI.EBV,0.8
A2M,GI.ESCC,0.35555555555555557
A2M,GI.GS,0.6422018348623854
A2M,GI.HM-indel,0.4057971014492754
A2M,GI.HM-SNV,0.47368421052631576
A2M,HNSC.Atypical,0.23880597014925373
A2M,HNSC.Basal,0.12643678160919541
A2M,HNSC.Classical,0.08333333333333333
A2M,HNSC.Mesenchymal,0.7945205479452054
A2M,KICH.Eosin.0,0.5652173913043478
A2M,KICH.Eosin.1,0.47368421052631576
A2M,KIRC.,0.9565217391304348
A2M,KIRC.1,1
A2M,KIRC.2,0.9886363636363636
A2M,KIRC.3,1
A2M,KIRC.4,0.9647058823529412
A2M,KIRP.C1,0.4842105263157895
A2M,KIRP.C2a,0.6571428571428571
A2M,KIRP.C2b,0.5909090909090909
A2M,KIRP.C2c - CIMP,0.7777777777777778
A2M,LIHC.,1
A2M,LIHC.iCluster:1,0.984375
A2M,LIHC.iCluster:2,0.9818181818181818
A2M,LIHC.iCluster:3,0.8412698412698413
A2M,LUAD.1,0.9090909090909091
A2M,LUAD.2,0.875
A2M,LUAD.3,0.82
A2M,LUAD.4,0.96875
A2M,LUAD.5,1
A2M,LUAD.6,0.875
A2M,LUSC.basal,0.6190476190476191
A2M,LUSC.classical,0.3968253968253968
A2M,LUSC.primitive,0.5769230769230769
A2M,LUSC.secretory,0.8461538461538461
A2M,OVCA.Differentiated,0.35384615384615387
A2M,OVCA.Immunoreactive,0.5526315789473685
A2M,OVCA.Mesenchymal,0.5238095238095238
A2M,OVCA.Proliferative,0.18181818181818182
A2M,PCPG.Cortical admixture,0.8636363636363636
A2M,PCPG.Kinase signaling,0.5147058823529411
A2M,PCPG.Pseudohypoxia,0.8524590163934426
A2M,PCPG.Wnt-altered,0.7272727272727273
A2M,PRAD.1-ERG,0.7763157894736842
A2M,PRAD.2-ETV1,0.7857142857142857
A2M,PRAD.3-ETV4,0.7857142857142857
A2M,PRAD.4-FLI1,1
A2M,PRAD.5-SPOP,0.7567567567567568
A2M,PRAD.6-FOXA1,0.8888888888888888
A2M,PRAD.7-IDH1,1
A2M,PRAD.8-other,0.8488372093023255
A2M,SKCM.-,1
A2M,SKCM.BRAF_Hotspot_Mutants,0.875
A2M,SKCM.NF1_Any_Mutants,0.75
A2M,SKCM.RAS_Hotspot_Mutants,0.6363636363636364
A2M,SKCM.Triple_WT,0.9
A2M,THCA.,0.8333333333333334
A2M,THCA.1,0.849624060150376
A2M,THCA.2,0.8805970149253731
A2M,THCA.3,0.6463414634146342
A2M,THCA.4,0.7047619047619048
A2M,THCA.5,0.8804347826086957
A2M,UCEC.,0.6
A2M,UCEC.CN_HIGH,0.46875
A2M,UCEC.CN_LOW,0.6805555555555556
A2M,UCEC.MSI,0.49193548387096775
A2M,UCEC.POLE,0.45569620253164556
A2M,UCS.1,0.7333333333333333
A2M,UCS.2,0.6
A2M,NA,0.5861566484517304
AANAT,ACC.CIMP-high,0.2631578947368421
AANAT,ACC.CIMP-intermediate,0.4444444444444444
AANAT,ACC.CIMP-low,0.25
AANAT,BLCA.1,0.525
AANAT,BLCA.2,0.36585365853658536
AANAT,BLCA.3,0.6451612903225806
AANAT,BLCA.4,0.8
AANAT,BRCA.Basal,0.6395348837209303
AANAT,BRCA.Her2,0.5205479452054794
AANAT,BRCA.LumA,0.46653543307086615
AANAT,BRCA.LumB,0.4397905759162304
AANAT,BRCA.Normal,0.4492753623188406
AANAT,GBM_LGG.,0.9743589743589743
AANAT,GBM_LGG.Classic-like,1
AANAT,GBM_LGG.Codel,0.9941520467836257
AANAT,GBM_LGG.G-CIMP-high,0.9957627118644068
AANAT,GBM_LGG.G-CIMP-low,1
AANAT,GBM_LGG.LGm6-GBM,0.9166666666666666
AANAT,GBM_LGG.Mesenchymal-like,0.9795918367346939
AANAT,GBM_LGG.PA-like,0.9230769230769231
AANAT,GI.CIN,0.5400641025641025
AANAT,GI.EBV,0.4666666666666667
AANAT,GI.ESCC,0.8444444444444444
AANAT,GI.GS,0.6146788990825688
AANAT,GI.HM-indel,0.6086956521739131
AANAT,GI.HM-SNV,0.5263157894736842
AANAT,HNSC.Atypical,0.7611940298507462
AANAT,HNSC.Basal,0.632183908045977
AANAT,HNSC.Classical,0.6458333333333334
AANAT,HNSC.Mesenchymal,0.684931506849315
AANAT,KICH.Eosin.0,0.6521739130434783
AANAT,KICH.Eosin.1,0.631578947368421
AANAT,KIRC.,0.5652173913043478
AANAT,KIRC.1,0.7361111111111112
AANAT,KIRC.2,0.7727272727272727
AANAT,KIRC.3,0.7640449438202247
AANAT,KIRC.4,0.7764705882352941
AANAT,KIRP.C1,0.9263157894736842
AANAT,KIRP.C2a,0.7428571428571429
AANAT,KIRP.C2b,0.7727272727272727
AANAT,KIRP.C2c - CIMP,0.7777777777777778
AANAT,LIHC.,0.2
AANAT,LIHC.iCluster:1,0.359375
AANAT,LIHC.iCluster:2,0.23636363636363636
AANAT,LIHC.iCluster:3,0.3333333333333333
AANAT,LUAD.1,0.5
AANAT,LUAD.2,0.53125
AANAT,LUAD.3,0.56
AANAT,LUAD.4,0.46875
AANAT,LUAD.5,0.7254901960784313
AANAT,LUAD.6,0.525
AANAT,LUSC.basal,0.8095238095238095
AANAT,LUSC.classical,0.7777777777777778
AANAT,LUSC.primitive,0.5769230769230769
AANAT,LUSC.secretory,0.5897435897435898
AANAT,OVCA.Differentiated,0.8769230769230769
AANAT,OVCA.Immunoreactive,0.8157894736842105
AANAT,OVCA.Mesenchymal,0.7619047619047619
AANAT,OVCA.Proliferative,0.7662337662337663
AANAT,PCPG.Cortical admixture,0.8181818181818182
AANAT,PCPG.Kinase signaling,0.6764705882352942
AANAT,PCPG.Pseudohypoxia,0.9180327868852459
AANAT,PCPG.Wnt-altered,0.9545454545454546
AANAT,PRAD.1-ERG,0.5
AANAT,PRAD.2-ETV1,0.4642857142857143
AANAT,PRAD.3-ETV4,0.5
AANAT,PRAD.4-FLI1,1
AANAT,PRAD.5-SPOP,0.5405405405405406
AANAT,PRAD.6-FOXA1,0.5555555555555556
AANAT,PRAD.7-IDH1,0.6666666666666666
AANAT,PRAD.8-other,0.38372093023255816
AANAT,SKCM.-,0.4444444444444444
AANAT,SKCM.BRAF_Hotspot_Mutants,0.78125
AANAT,SKCM.NF1_Any_Mutants,1
AANAT,SKCM.RAS_Hotspot_Mutants,0.7272727272727273
AANAT,SKCM.Triple_WT,0.9
AANAT,THCA.,1
AANAT,THCA.1,0.9172932330827067
AANAT,THCA.2,0.8955223880597015
AANAT,THCA.3,0.5609756097560976
AANAT,THCA.4,0.6
AANAT,THCA.5,0.8152173913043478
AANAT,UCEC.,0.5333333333333333
AANAT,UCEC.CN_HIGH,0.76875
AANAT,UCEC.CN_LOW,0.5833333333333334
AANAT,UCEC.MSI,0.5806451612903226
AANAT,UCEC.POLE,0.6962025316455697
AANAT,UCS.1,0.9333333333333333
AANAT,UCS.2,0.7428571428571429
AANAT,NA,0.7006554989075018
ABCA1,ACC.CIMP-high,0.3157894736842105
ABCA1,ACC.CIMP-intermediate,0.6666666666666666
ABCA1,ACC.CIMP-low,0.71875
ABCA1,BLCA.1,0.525
ABCA1,BLCA.2,0.7317073170731707
ABCA1,BLCA.3,0.6774193548387096
ABCA1,BLCA.4,0.6666666666666666
ABCA1,BRCA.Basal,0.4941860465116279
ABCA1,BRCA.Her2,0.6301369863013698
ABCA1,BRCA.LumA,0.6023622047244095
ABCA1,BRCA.LumB,0.6073298429319371
ABCA1,BRCA.Normal,0.6594202898550725
ABCA1,GBM_LGG.,0.9743589743589743
ABCA1,GBM_LGG.Classic-like,0.9710144927536232
ABCA1,GBM_LGG.Codel,0.9473684210526315
ABCA1,GBM_LGG.G-CIMP-high,0.9703389830508474
ABCA1,GBM_LGG.G-CIMP-low,0.8823529411764706
ABCA1,GBM_LGG.LGm6-GBM,1
ABCA1,GBM_LGG.Mesenchymal-like,0.9795918367346939
ABCA1,GBM_LGG.PA-like,0.6538461538461539
ABCA1,GI.CIN,0.416
ABCA1,GI.EBV,0.7666666666666667
ABCA1,GI.ESCC,0.8888888888888888
ABCA1,GI.GS,0.5688073394495413
ABCA1,GI.HM-indel,0.47101449275362317
ABCA1,GI.HM-SNV,0.42105263157894735
ABCA1,HNSC.Atypical,0.8208955223880597
ABCA1,HNSC.Basal,0.8850574712643678
ABCA1,HNSC.Classical,0.8125
ABCA1,HNSC.Mesenchymal,0.958904109589041
ABCA1,KICH.Eosin.0,0.8478260869565217
ABCA1,KICH.Eosin.1,0.47368421052631576
ABCA1,KIRC.,0.9565217391304348
ABCA1,KIRC.1,1
ABCA1,KIRC.2,1
ABCA1,KIRC.3,0.9550561797752809
ABCA1,KIRC.4,0.9764705882352941
ABCA1,KIRP.C1,0.8947368421052632
ABCA1,KIRP.C2a,0.9142857142857143
ABCA1,KIRP.C2b,0.8636363636363636
ABCA1,KIRP.C2c - CIMP,0.5555555555555556
ABCA1,LIHC.,0.9
ABCA1,LIHC.iCluster:1,0.859375
ABCA1,LIHC.iCluster:2,0.9818181818181818
ABCA1,LIHC.iCluster:3,0.8412698412698413
ABCA1,LUAD.1,0.4090909090909091
ABCA1,LUAD.2,0.71875
ABCA1,LUAD.3,0.66
ABCA1,LUAD.4,0.71875
ABCA1,LUAD.5,0.8431372549019608
ABCA1,LUAD.6,0.8
ABCA1,LUSC.basal,0.9047619047619048
ABCA1,LUSC.classical,0.9206349206349206
ABCA1,LUSC.primitive,0.6538461538461539
ABCA1,LUSC.secretory,0.8974358974358975
ABCA1,OVCA.Differentiated,0.8
ABCA1,OVCA.Immunoreactive,0.7631578947368421
ABCA1,OVCA.Mesenchymal,0.9047619047619048
ABCA1,OVCA.Proliferative,0.44155844155844154
ABCA1,PCPG.Cortical admixture,0.5
ABCA1,PCPG.Kinase signaling,0.16176470588235295
ABCA1,PCPG.Pseudohypoxia,0.29508196721311475
ABCA1,PCPG.Wnt-altered,0.045454545454545456
ABCA1,PRAD.1-ERG,0.375
ABCA1,PRAD.2-ETV1,0.2857142857142857
ABCA1,PRAD.3-ETV4,0.2857142857142857
ABCA1,PRAD.4-FLI1,0.5
ABCA1,PRAD.5-SPOP,0.16216216216216217
ABCA1,PRAD.6-FOXA1,0.2222222222222222
ABCA1,PRAD.7-IDH1,0
ABCA1,PRAD.8-other,0.1744186046511628
ABCA1,SKCM.-,0.8888888888888888
ABCA1,SKCM.BRAF_Hotspot_Mutants,0.59375
ABCA1,SKCM.NF1_Any_Mutants,0.75
ABCA1,SKCM.RAS_Hotspot_Mutants,0.7272727272727273
ABCA1,SKCM.Triple_WT,0.7
ABCA1,THCA.,0.5833333333333334
ABCA1,THCA.1,0.7443609022556391
ABCA1,THCA.2,0.835820895522388
ABCA1,THCA.3,0.9024390243902439
ABCA1,THCA.4,0.6952380952380952
ABCA1,THCA.5,0.9239130434782609
