From	To
Dendritic_cells	TNFSF18
TNFSF18	TNFRSF18
TNFRSF18	T_cells_CD8
Dendritic_cells	TNFSF4
TNFSF4	TNFRSF4
TNFRSF4	T_cells_CD8
Dendritic_cells	TNFSF9
TNFSF9	TNFRSF9
TNFRSF9	T_cells_CD8
Dendritic_cells	CD274
CD274	PDCD1
PDCD1	T_cells_CD8
Dendritic_cells	PDCD1LG2
PDCD1LG2	PDCD1
T_cells_CD8	CD40LG
CD40LG	CD40
CD40	Dendritic_cells
HLA-A	Dendritic_cells
Dendritic_cells	CD80
CD80	CD28
CD28	T_cells_CD8
Dendritic_cells	CD86
CD86	CTLA4
CTLA4	T_cells_CD8
Dendritic_cells	ICOSLG
ICOSLG	ICOS
ICOS	T_cells_CD8
Dendritic_cells	PVR
PVR	TIGIT
TIGIT	T_cells_CD8
LAG3	T_cells_CD8
HLA-DPA1	Macrophage
Macrophage	PDCD1LG2
Macrophage	CD274
HLA-A	Macrophage
Tumor_cell	LGALS9
LGALS9	HAVCR2
HAVCR2	T_cells_CD8
Tumor_cell	CD274
HLA-A	Tumor_cell
