From	To
A2M	LRP1
AANAT	MTNR1A
AANAT	MTNR1B
ABCA1	B_cells
ABCA1	Eosinophils
ABCA1	Macrophage
ABCA1	Mast_cells
ABCA1	NK_cells
ABCA1	Neutrophils
ABCA1	T_cells_CD4
ACE	AGTR2
ACE	BDKRB2
ACVR1	Macrophage
ACVR1	Mast_cells
ACVR1	T_cells_CD4
ACVR1	T_cells_CD8
ACVR1B	Macrophage
ACVR1B	Mast_cells
ACVR2A	Macrophage
ACVR2A	NK_cells
ACVR2A	T_cells_CD4
ADAM10	AXL
ADAM10	EPHA3
ADAM12	ITGA9
ADAM12	ITGB1
ADAM12	SDC4
ADAM15	ITGA5
ADAM15	ITGA9
ADAM15	ITGAV
ADAM15	ITGB1
ADAM15	ITGB3
ADAM17	ERBB4
ADAM17	ITGA5
ADAM17	ITGB1
ADAM17	NOTCH1
ADAM2	CD9
ADAM2	ITGA6
ADAM2	ITGA9
ADAM2	ITGB1
ADAM2	ITGB7
ADAM23	ITGA5
ADAM23	ITGB3
ADAM28	ITGA4
ADAM9	ITGA3
ADAM9	ITGA6
ADAM9	ITGAV
ADAM9	ITGB1
ADAM9	ITGB5
ADCYAP1	ADCYAP1R1
ADCYAP1	SCTR
ADCYAP1	VIPR1
ADCYAP1	VIPR2
ADIPOQ	ADIPOR1
ADIPOQ	ADIPOR2
ADIPOR1	B_cells
ADIPOR1	Eosinophils
ADIPOR1	Macrophage
ADIPOR1	Mast_cells
ADIPOR1	NK_cells
ADIPOR1	Neutrophils
ADIPOR1	T_cells_CD4
ADIPOR1	T_cells_CD8
ADIPOR2	B_cells
ADIPOR2	Eosinophils
ADIPOR2	Macrophage
ADIPOR2	Mast_cells
ADIPOR2	NK_cells
ADIPOR2	Neutrophils
ADIPOR2	T_cells_CD4
ADIPOR2	T_cells_CD8
ADM	CALCR
ADM	CALCRL
ADM	GPR182
ADM	MRGPRX2
ADM	RAMP2
ADM2	CALCR
ADM2	CALCRL
ADM2	RAMP1
ADORA2B	Mast_cells
ADRA2B	Macrophage
ADRB2	B_cells
ADRB2	Eosinophils
ADRB2	Macrophage
ADRB2	Mast_cells
ADRB2	NK_cells
ADRB2	Neutrophils
ADRB2	T_cells_CD4
ADRB2	T_cells_CD8
AGRN	ATP1A3
AGRN	LRP4
AGRN	MUSK
AGRP	MC3R
AGRP	MC4R
AGRP	MC5R
AGRP	SDC3
AGT	AGTR1
AGT	AGTR2
AGT	LRP2
AGT	MAS1
AHSG	INSR
ALB	LRP2
ALK	Macrophage
AMELX	LAMP1
AMELY	LAMP1
AMFR	B_cells
AMFR	Eosinophils
AMFR	Macrophage
AMFR	Mast_cells
AMFR	NK_cells
AMFR	Neutrophils
AMFR	T_cells_CD4
AMFR	T_cells_CD8
AMH	ACVR1
AMH	AMHR2
AMH	EGFR
AMHR2	Mast_cells
ANGPT1	ITGA5
ANGPT1	TEK
ANGPT1	TIE1
ANGPT2	TEK
ANGPT4	TEK
ANGPTL1	TEK
ANGPTL3	ITGA5
ANGPTL3	ITGAV
ANGPTL3	ITGB3
ANXA1	DYSF
ANXA1	EGFR
ANXA1	FPR1
ANXA1	FPR2
ANXA1	FPR3
APCDD1	Mast_cells
APLN	APLNR
APLP2	B_cells
APLP2	Eosinophils
APLP2	Macrophage
APLP2	Mast_cells
APLP2	NK_cells
APLP2	Neutrophils
APLP2	T_cells_CD4
APLP2	T_cells_CD8
APOB	LDLR
APOB	LRP2
APOB	LSR
APOB	OLR1
APOD	LEPR
APOE	LDLR
APOE	LRP1
APOE	LRP2
APOE	LRP5
APOE	LRP8
APOE	SCARB1
APOE	SORL1
APOE	VLDLR
APP	CAV1
APP	CD74
APP	FPR2
APP	GPC1
APP	LRP1
APP	NCSTN
APP	TNFRSF21
AREG	EGFR
AREG	ERBB3
AREGB	EGFR
ARF1	CHRM3
ARF1	INSR
ARF1	PLD2
ARTN	GFRA1
ARTN	GFRA3
ARTN	RET
ASIP	ATRN
ASIP	F11R
ASIP	MC1R
ASIP	MC2R
ASIP	MC3R
ASIP	MC4R
ASIP	MC5R
ATP6AP2	B_cells
ATP6AP2	Eosinophils
ATP6AP2	Macrophage
ATP6AP2	Mast_cells
ATP6AP2	NK_cells
ATP6AP2	Neutrophils
ATP6AP2	T_cells_CD4
ATP6AP2	T_cells_CD8
ATRN	Macrophage
ATRN	Mast_cells
ATRN	NK_cells
ATRN	T_cells_CD4
AVP	AVPR1A
AVP	AVPR1B
AVP	AVPR2
AVP	OXTR
AZGP1	ITGAV
B2M	CD1A
B2M	CD1B
B2M	HFE
B2M	HLA-F
B2M	LILRB1
BAMBI	Mast_cells
BDNF	NGFR
BDNF	NGFRAP1
BDNF	NTRK2
BDNF	SORT1
BGN	TLR2
BGN	TLR4
BMP10	ACVR2A
BMP10	ACVRL1
BMP10	BMPR1A
BMP10	BMPR1B
BMP10	BMPR2
BMP10	ENG
BMP15	ACVR2A
BMP15	BMPR1A
BMP15	BMPR1B
BMP15	BMPR2
BMP2	ACVR1
BMP2	ACVR2A
BMP2	ACVR2B
BMP2	BMPR1A
BMP2	BMPR1B
BMP2	BMPR2
BMP2	ENG
BMP2	HFE2
BMP3	ACVR2B
BMP4	BMPR1A
BMP4	BMPR1B
BMP4	BMPR2
BMP5	BMPR1A
BMP6	ACVR1
BMP6	ACVR2A
BMP6	BMPR1A
BMP6	BMPR1B
BMP6	BMPR2
BMP7	ACVR1
BMP7	ACVR2A
BMP7	ACVR2B
BMP7	BMPR1A
BMP7	BMPR1B
BMP7	BMPR2
BMP7	ENG
BMPR1A	Mast_cells
BMPR2	Macrophage
BMPR2	Mast_cells
BMPR2	NK_cells
BMPR2	T_cells_CD4
BST1	CAV1
BTC	EGFR
BTC	ERBB2
BTC	ERBB3
BTC	ERBB4
BTLA	CD79A
BTLA	TNFRSF14
BTLA	VTCN1
B_cells	ADAM10
B_cells	ADAM17
B_cells	ADAM28
B_cells	ANXA1
B_cells	APP
B_cells	ARF1
B_cells	B2M
B_cells	BTLA
B_cells	CALR
B_cells	CCL28
B_cells	CCL3
B_cells	CCL5
B_cells	CD200
B_cells	CD24
B_cells	CD274
B_cells	CD55
B_cells	CD70
B_cells	CD80
B_cells	COL4A4
B_cells	CXCL2
B_cells	EFNA3
B_cells	EFNA4
B_cells	FLT3LG
B_cells	GNAI2
B_cells	GNAS
B_cells	GPI
B_cells	GSTP1
B_cells	HLA-A
B_cells	HLA-B
B_cells	HLA-C
B_cells	HLA-E
B_cells	HMGB1
B_cells	HSP90AA1
B_cells	ICAM1
B_cells	ICAM2
B_cells	ICAM3
B_cells	IGFBP4
B_cells	IL16
B_cells	IL1B
B_cells	IL6
B_cells	IL7
B_cells	IL8
B_cells	ITGB3BP
B_cells	LIN7C
B_cells	LRPAP1
B_cells	LTB
B_cells	LY86
B_cells	MFNG
B_cells	MIA
B_cells	NAMPT
B_cells	PDAP1
B_cells	PF4
B_cells	PIGF
B_cells	PNOC
B_cells	POMC
B_cells	PPBP
B_cells	PSAP
B_cells	PSEN1
B_cells	PTDSS1
B_cells	PTGS2
